date,rank,ticker
2006-01-31,1,GNW
2006-01-31,2,TYC
2006-01-31,3,ALL
2006-01-31,4,CNA
2006-01-31,5,AIG
2006-01-31,6,CD
2006-01-31,7,HIG
2006-01-31,8,AXS
2006-01-31,9,NI
2006-01-31,10,TSN
2006-01-31,11,XRX
2006-01-31,12,IP
2006-01-31,13,C
2006-01-31,14,BPOP
2006-01-31,15,PRU
2006-01-31,16,MET
2006-01-31,17,RDN
2006-01-31,18,FLEX
2006-01-31,19,RE
2006-01-31,20,AFG
2006-01-31,21,GE
2006-01-31,22,STA
2006-01-31,23,RF
2006-01-31,24,TK
2006-01-31,25,ACE
2006-01-31,26,PCG
2006-01-31,27,DUK
2006-01-31,28,DOW
2006-01-31,29,RCL
2006-01-31,30,CTL
2006-01-31,31,UTR
2006-01-31,32,ORI
2006-01-31,33,AEE
2006-01-31,34,CINF
2006-01-31,35,ETR
2006-01-31,36,MBI
2006-01-31,37,WR
2006-01-31,38,ANAT
2006-01-31,39,COF
2006-01-31,40,PFG
2006-01-31,41,NOC
2006-01-31,42,FITB
2006-01-31,43,WLP
2006-01-31,44,MCY
2006-01-31,45,INTC
2006-01-31,46,FE
2006-01-31,47,FPL
2006-01-31,48,ACGL
2006-01-31,49,USB
2006-01-31,50,RGA
2006-02-28,1,F
2006-02-28,2,EXPE
2006-02-28,3,STA
2006-02-28,4,UNM
2006-02-28,5,LTR
2006-02-28,6,COP
2006-02-28,7,CNA
2006-02-28,8,GNW
2006-02-28,9,MBI
2006-02-28,10,CD
2006-02-28,11,HIG
2006-02-28,12,FAF
2006-02-28,13,TYC
2006-02-28,14,MET
2006-02-28,15,CVX
2006-02-28,16,CINF
2006-02-28,17,ANAT
2006-02-28,18,DVN
2006-02-28,19,RGA
2006-02-28,20,RNR
2006-02-28,21,CNO
2006-02-28,22,NCC
2006-02-28,23,C
2006-02-28,24,AIG
2006-02-28,25,PRU
2006-02-28,26,TMK
2006-02-28,27,AN
2006-02-28,28,ORI
2006-02-28,29,HAS
2006-02-28,30,BRKA
2006-02-28,31,AIZ
2006-02-28,32,LEG
2006-02-28,33,INTC
2006-02-28,34,BPOP
2006-02-28,35,FITB
2006-02-28,36,SJM
2006-02-28,37,CMCSA
2006-02-28,38,BRKB
2006-02-28,39,MTG
2006-02-28,40,RE
2006-02-28,41,RDN
2006-02-28,42,UTSI
2006-02-28,43,VLO
2006-02-28,44,AFL
2006-02-28,45,XOM
2006-02-28,46,KFT
2006-02-28,47,STC
2006-02-28,48,MO
2006-02-28,49,NI
2006-02-28,50,ALL
2006-03-31,1,MET
2006-03-31,2,ACE
2006-03-31,3,COF
2006-03-31,4,T
2006-03-31,5,ALL
2006-03-31,6,BAP
2006-03-31,7,HIG
2006-03-31,8,RE
2006-03-31,9,AXS
2006-03-31,10,STA
2006-03-31,11,FAF
