date,qc_size,local_size,overlap,overlap_qc_pct,overlap_local_pct,jaccard
2006-02-28,50,50,13,0.26,0.26,0.14942528735632185
2006-03-31,50,50,14,0.28,0.28,0.16279069767441862
2006-04-28,50,50,10,0.2,0.2,0.1111111111111111
2006-05-31,50,50,14,0.28,0.28,0.16279069767441862
2006-06-30,50,50,14,0.28,0.28,0.16279069767441862
2006-07-31,50,50,12,0.24,0.24,0.13636363636363635
2006-08-31,50,50,14,0.28,0.28,0.16279069767441862
2006-09-29,50,50,11,0.22,0.22,0.12359550561797752
2006-10-31,50,50,15,0.3,0.3,0.17647058823529413
2006-11-30,50,50,10,0.2,0.2,0.1111111111111111
2006-12-29,50,50,11,0.22,0.22,0.12359550561797752
2007-01-31,50,50,10,0.2,0.2,0.1111111111111111
2007-02-28,50,50,10,0.2,0.2,0.1111111111111111
2007-03-30,50,50,17,0.34,0.34,0.20481927710843373
2007-04-30,50,50,10,0.2,0.2,0.1111111111111111
2007-05-31,50,50,12,0.24,0.24,0.13636363636363635
2007-06-29,50,50,20,0.4,0.4,0.25
2007-07-31,50,50,18,0.36,0.36,0.21951219512195122
2007-08-31,50,50,18,0.36,0.36,0.21951219512195122
2007-09-28,50,50,11,0.22,0.22,0.12359550561797752
2007-10-31,50,50,14,0.28,0.28,0.16279069767441862
2007-11-30,50,50,16,0.32,0.32,0.19047619047619047
2007-12-31,50,50,18,0.36,0.36,0.21951219512195122
2008-01-31,50,50,16,0.32,0.32,0.19047619047619047
2008-02-29,50,50,20,0.4,0.4,0.25
2008-03-31,50,50,15,0.3,0.3,0.17647058823529413
2008-04-30,50,50,22,0.44,0.44,0.28205128205128205
2008-05-30,50,50,20,0.4,0.4,0.25
2008-06-30,50,50,21,0.42,0.42,0.26582278481012656
2008-07-31,50,50,17,0.34,0.34,0.20481927710843373
2008-08-29,50,50,19,0.38,0.38,0.2345679012345679
2008-09-30,50,50,18,0.36,0.36,0.21951219512195122
2008-10-31,50,50,21,0.42,0.42,0.26582278481012656
2008-11-28,50,50,18,0.36,0.36,0.21951219512195122
2008-12-31,50,50,13,0.26,0.26,0.14942528735632185
2009-01-30,50,50,19,0.38,0.38,0.2345679012345679
2009-02-27,50,50,13,0.26,0.26,0.14942528735632185
2009-03-31,50,50,8,0.16,0.16,0.08695652173913043
2009-04-30,50,50,14,0.28,0.28,0.16279069767441862
2009-05-29,50,50,13,0.26,0.26,0.14942528735632185
2009-06-30,50,50,17,0.34,0.34,0.20481927710843373
2009-07-31,50,50,14,0.28,0.28,0.16279069767441862
2009-08-31,50,50,6,0.12,0.12,0.06382978723404255
2009-09-30,50,50,22,0.44,0.44,0.28205128205128205
2009-10-30,50,50,14,0.28,0.28,0.16279069767441862
2009-11-30,50,50,14,0.28,0.28,0.16279069767441862
2009-12-31,50,50,20,0.4,0.4,0.25
2010-01-29,50,50,15,0.3,0.3,0.17647058823529413
2010-02-26,50,50,16,0.32,0.32,0.19047619047619047
2010-03-31,50,50,18,0.36,0.36,0.21951219512195122
2010-04-30,50,50,16,0.32,0.32,0.19047619047619047
