signal_date,execution_date,next_execution_date,portfolio_return
2018-01-31,2018-02-01,2018-03-01,-0.0015880278969961775
2018-02-28,2018-03-01,2018-04-02,0.013247038428765186
2018-03-29,2018-04-02,2018-05-01,-0.0017420628469370526
2018-04-30,2018-05-01,2018-06-01,0.008749907156482014
2018-05-31,2018-06-01,2018-07-02,0.0011397421332177786
2018-06-29,2018-07-02,2018-08-01,0.004048162828082714
2018-07-31,2018-08-01,2018-09-04,-0.027856224691280095
2018-08-31,2018-09-04,2018-10-01,-0.0029157006753729874
2018-09-28,2018-10-01,2018-11-01,0.01112122657141146
2018-10-31,2018-11-01,2018-12-03,-8.03687835229292e-05
2018-11-30,2018-12-03,2019-01-02,0.018794218346777657
2018-12-31,2019-01-02,2019-02-01,0.006839275095196582
2019-01-31,2019-02-01,2019-03-01,-0.0038145430741019616
2019-02-28,2019-03-01,2019-04-01,-0.007379983809242574
2019-03-29,2019-04-01,2019-05-01,0.02008305658942954
2019-04-30,2019-05-01,2019-06-03,-0.0034338237109224363
2019-05-31,2019-06-03,2019-07-01,-0.011768032769619715
2019-06-28,2019-07-01,2019-08-01,-0.012587586076260319
2019-07-31,2019-08-01,2019-09-03,-6.100844290685961e-06
2019-08-30,2019-09-03,2019-10-01,0.030147986482003508
2019-09-30,2019-10-01,2019-11-01,0.004409915894351628
2019-10-31,2019-11-01,2019-12-02,-0.013059833138534835
2019-11-29,2019-12-02,2020-01-02,0.006261405900341345
2019-12-31,2020-01-02,2020-02-03,-0.025738979498195046
2020-01-31,2020-02-03,2020-03-02,-0.0023739256140727135
2020-02-28,2020-03-02,2020-04-01,-0.0860730080655995
2020-03-31,2020-04-01,2020-05-01,0.04016608071510623
2020-04-30,2020-05-01,2020-06-01,-0.014664857225115308
2020-05-29,2020-06-01,2020-07-01,0.004229688648239402
2020-06-30,2020-07-01,2020-08-03,-0.023525134161221643
2020-07-31,2020-08-03,2020-09-01,0.008641425537948322
2020-08-31,2020-09-01,2020-10-01,-0.012552214709793692
2020-09-30,2020-10-01,2020-11-02,0.04078121137730431
2020-10-30,2020-11-02,2020-12-01,0.024486135517485668
2020-11-30,2020-12-01,2021-01-04,-0.0005963147669173455
2020-12-31,2021-01-04,2021-02-01,-0.0007899150089475965
2021-01-29,2021-02-01,2021-03-01,0.04002239653983674
2021-02-26,2021-03-01,2021-04-01,0.034714616104689344
2021-03-31,2021-04-01,2021-05-03,-0.005439465476819555
2021-04-30,2021-05-03,2021-06-01,0.015900050537043197
2021-05-28,2021-06-01,2021-07-01,-0.03214968214705456
2021-06-30,2021-07-01,2021-08-02,-0.012265514444254347
2021-07-30,2021-08-02,2021-09-01,0.000900511373843921
2021-08-31,2021-09-01,2021-10-01,0.014961044978862458
2021-09-30,2021-10-01,2021-11-01,-0.007276648195823229
2021-10-29,2021-11-01,2021-12-01,-0.020465209412997433
2021-11-30,2021-12-01,2022-01-03,0.01687048375101532
