signal_date,execution_date,next_execution_date
2018-01-31,2018-02-01,2018-03-01
2018-02-28,2018-03-01,2018-04-02
2018-03-29,2018-04-02,2018-05-01
2018-04-30,2018-05-01,2018-06-01
2018-05-31,2018-06-01,2018-07-02
2018-06-29,2018-07-02,2018-08-01
2018-07-31,2018-08-01,2018-09-04
2018-08-31,2018-09-04,2018-10-01
2018-09-28,2018-10-01,2018-11-01
2018-10-31,2018-11-01,2018-12-03
2018-11-30,2018-12-03,2019-01-02
2018-12-31,2019-01-02,2019-02-01
2019-01-31,2019-02-01,2019-03-01
2019-02-28,2019-03-01,2019-04-01
2019-03-29,2019-04-01,2019-05-01
2019-04-30,2019-05-01,2019-06-03
2019-05-31,2019-06-03,2019-07-01
2019-06-28,2019-07-01,2019-08-01
2019-07-31,2019-08-01,2019-09-03
2019-08-30,2019-09-03,2019-10-01
2019-09-30,2019-10-01,2019-11-01
2019-10-31,2019-11-01,2019-12-02
2019-11-29,2019-12-02,2020-01-02
2019-12-31,2020-01-02,2020-02-03
2020-01-31,2020-02-03,2020-03-02
2020-02-28,2020-03-02,2020-04-01
2020-03-31,2020-04-01,2020-05-01
2020-04-30,2020-05-01,2020-06-01
2020-05-29,2020-06-01,2020-07-01
2020-06-30,2020-07-01,2020-08-03
2020-07-31,2020-08-03,2020-09-01
2020-08-31,2020-09-01,2020-10-01
2020-09-30,2020-10-01,2020-11-02
2020-10-30,2020-11-02,2020-12-01
2020-11-30,2020-12-01,2021-01-04
2020-12-31,2021-01-04,2021-02-01
2021-01-29,2021-02-01,2021-03-01
2021-02-26,2021-03-01,2021-04-01
2021-03-31,2021-04-01,2021-05-03
2021-04-30,2021-05-03,2021-06-01
2021-05-28,2021-06-01,2021-07-01
2021-06-30,2021-07-01,2021-08-02
2021-07-30,2021-08-02,2021-09-01
2021-08-31,2021-09-01,2021-10-01
2021-09-30,2021-10-01,2021-11-01
2021-10-29,2021-11-01,2021-12-01
2021-11-30,2021-12-01,2022-01-03
