signal_date,execution_date,next_execution_date,portfolio_return
2018-01-31,2018-02-01,2018-03-01,0.04679087513148944
2018-02-28,2018-03-01,2018-04-02,0.00025857930309830524
2018-03-29,2018-04-02,2018-05-01,-0.006455749525451249
2018-04-30,2018-05-01,2018-06-01,0.003702988074560487
2018-05-31,2018-06-01,2018-07-02,0.02186018866061934
2018-06-29,2018-07-02,2018-08-01,-0.07125081749092299
2018-07-31,2018-08-01,2018-09-04,-0.18463274316574563
2018-08-31,2018-09-04,2018-10-01,-0.062236390828302124
2018-09-28,2018-10-01,2018-11-01,0.16714278128459553
2018-10-31,2018-11-01,2018-12-03,-0.16461941345554826
2018-11-30,2018-12-03,2019-01-02,0.030090428499676247
2018-12-31,2019-01-02,2019-02-01,0.01902098729965429
2019-01-31,2019-02-01,2019-03-01,0.05127651036861941
2019-02-28,2019-03-01,2019-04-01,-0.010062917856127784
2019-03-29,2019-04-01,2019-05-01,0.04187220437245398
2019-04-30,2019-05-01,2019-06-03,-0.09628358338725435
2019-05-31,2019-06-03,2019-07-01,0.015379718708793289
2019-06-28,2019-07-01,2019-08-01,0.03854123732323794
2019-07-31,2019-08-01,2019-09-03,-0.01637754916074552
2019-08-30,2019-09-03,2019-10-01,0.06456636253511733
2019-09-30,2019-10-01,2019-11-01,-0.03702576795465129
2019-10-31,2019-11-01,2019-12-02,-0.03297740816113082
2019-11-29,2019-12-02,2020-01-02,-0.096864536442275
2019-12-31,2020-01-02,2020-02-03,0.053832032678495734
2020-01-31,2020-02-03,2020-03-02,0.002625139066578963
2020-02-28,2020-03-02,2020-04-01,-0.056820370398577014
2020-03-31,2020-04-01,2020-05-01,0.028717941736399077
2020-04-30,2020-05-01,2020-06-01,0.024959868539621288
2020-05-29,2020-06-01,2020-07-01,0.07547410936434912
2020-06-30,2020-07-01,2020-08-03,-0.20966841702492367
2020-07-31,2020-08-03,2020-09-01,-0.004138637523200428
2020-08-31,2020-09-01,2020-10-01,0.012770556361529906
2020-09-30,2020-10-01,2020-11-02,0.005239773205410414
2020-10-30,2020-11-02,2020-12-01,-0.026657104259824926
2020-11-30,2020-12-01,2021-01-04,-0.023834682124785678
2020-12-31,2021-01-04,2021-02-01,0.032163467544548685
2021-01-29,2021-02-01,2021-03-01,0.01843980718506716
2021-02-26,2021-03-01,2021-04-01,-0.029763264621596452
2021-03-31,2021-04-01,2021-05-03,-0.052767903010078665
2021-04-30,2021-05-03,2021-06-01,-0.03372942531719536
2021-05-28,2021-06-01,2021-07-01,-0.04415380457884033
2021-06-30,2021-07-01,2021-08-02,0.0935206418926206
2021-07-30,2021-08-02,2021-09-01,-0.06196674373760869
2021-08-31,2021-09-01,2021-10-01,0.0035789282437275194
2021-09-30,2021-10-01,2021-11-01,-0.01140122064322191
2021-10-29,2021-11-01,2021-12-01,-0.01329848323493854
2021-11-30,2021-12-01,2022-01-03,0.014723090084668322
